ms;uA
3770.0;14250.000000000002
3780.0;15150.000000000002
3790.0;9505.0
3800.0;15390.000000000002
3810.0;6776.0
3820.0;15250.000000000002
3830.0;6731.0
3840.0;14850.000000000002
3850.0;14950.000000000002
3860.0;15130.000000000002
3870.0;7032.0
3880.0;17200.0
3890.0;6767.0
3900.0;14870.000000000002
3910.0;15540.000000000002
3920.0;15080.000000000002
3930.0;6747.0
3940.0;14950.000000000002
3950.0;6954.0
3960.0;15000.000000000002
3970.0;7102.0
3980.0;14400.000000000002
3990.0;14970.000000000002
4000.0;14750.000000000002
4010.0;14760.000000000002
4020.0;15140.000000000002
4030.0;7079.0
4040.0;15140.000000000002
4050.0;6738.0
4060.0;9713.0
4070.0;15190.000000000002
4080.0;15200.000000000002
4090.0;9414.0
4100.0;17570.0
4110.0;6760.0
4120.0;14870.000000000002
4130.0;9253.0
4140.0;14940.000000000002
4150.0;7093.0
4160.0;15190.000000000002
4170.0;6977.0
4180.0;14990.000000000002
4190.0;7099.0
4200.0;9650.0
4210.0;15060.000000000002
4220.0;14820.000000000002
4230.0;9177.0
4240.0;14820.000000000002
4250.0;6738.0
4260.0;14890.000000000002
4270.0;6939.0
4280.0;14980.000000000002
4290.0;7099.0
4300.0;15180.000000000002
4310.0;7023.0
4320.0;15220.000000000002
4330.0;6796.0
4340.0;14960.000000000002
4350.0;6749.0
4360.0;14880.000000000002
4370.0;6764.0
4380.0;15200.000000000002
4390.0;7068.0
4400.0;15170.000000000002
4410.0;6795.0
4420.0;14850.000000000002
4430.0;6735.0
4440.0;14890.000000000002
4450.0;6994.0
4460.0;15010.000000000002
4470.0;7098.0
4480.0;15190.000000000002
4490.0;14910.000000000002
4500.0;14850.000000000002
4510.0;6737.0
4520.0;14960.000000000002
4530.0;14860.000000000002
4540.0;14940.000000000002
4550.0;6737.0
4560.0;14990.000000000002
4570.0;7094.0
4580.0;15190.000000000002
4590.0;6966.0
4600.0;15160.000000000002
4610.0;6823.0
4620.0;15000.000000000002
4630.0;7261.0
4640.0;15210.000000000002
4650.0;6836.0
4660.0;7102.0
4670.0;14810.000000000002
4680.0;9447.0
4690.0;14870.000000000002
4700.0;6728.0
4710.0;14910.000000000002
4720.0;7247.0
4730.0;15150.000000000002
4740.0;14960.000000000002
4750.0;15040.000000000002
4760.0;15100.000000000002
4770.0;13040.000000000002
4780.0;15120.000000000002
4790.0;14780.000000000002
4800.0;14930.000000000002
4810.0;15300.000000000002
4820.0;6126.0
4830.0;14200.000000000002
4840.0;14250.000000000002
4850.0;14400.000000000002
4860.0;14410.000000000002
4870.0;7038.0
4880.0;14280.000000000002
4890.0;14660.000000000002
4900.0;14520.000000000002
4910.0;15000.000000000002
4920.0;9807.0
4930.0;9800.0
4940.0;7691.0
4950.0;14660.000000000002
4960.0;9090.0
4970.0;6197.0
4980.0;14440.000000000002
4990.0;14650.000000000002
5000.0;14420.000000000002
5010.0;14630.000000000002
5020.0;6167.0
5030.0;6973.0
5040.0;14440.000000000002
5050.0;6693.0
5060.0;14360.000000000002
5070.0;6957.0
5080.0;14270.000000000002
5090.0;11080.0
5100.0;14600.000000000002
5110.0;14600.000000000002
5120.0;14650.000000000002
5130.0;14500.000000000002
5140.0;14240.000000000002
5150.0;14250.000000000002
5160.0;14380.000000000002
5170.0;14740.000000000002
5180.0;14500.000000000002
5190.0;14410.000000000002
5200.0;14320.000000000002
5210.0;14650.000000000002
5220.0;14740.000000000002
5230.0;14550.000000000002
5240.0;14460.000000000002
5250.0;14250.000000000002
5260.0;14400.000000000002
5270.0;14550.000000000002
5280.0;14610.000000000002
5290.0;14650.000000000002
5300.0;14310.000000000002
5310.0;14290.000000000002
5320.0;14300.000000000002
5330.0;14660.000000000002
5340.0;14940.000000000002
5350.0;14830.000000000002
5360.0;14390.000000000002
5370.0;14390.000000000002
5380.0;14280.000000000002
5390.0;14350.000000000002
5400.0;14870.000000000002
5410.0;14960.000000000002
5420.0;14710.000000000002
5430.0;14690.000000000002
5440.0;14480.000000000002
5450.0;14340.000000000002
5460.0;14560.000000000002
5470.0;14860.000000000002
5480.0;14710.000000000002
5490.0;14590.000000000002
5500.0;14400.000000000002
5510.0;14260.000000000002
5520.0;14600.000000000002
5530.0;14480.000000000002
5540.0;14410.000000000002
5550.0;14300.000000000002
5560.0;14320.000000000002
5570.0;14280.000000000002
5580.0;14790.000000000002
5590.0;6202.0
5600.0;14400.000000000002
5610.0;14370.000000000002
5620.0;14640.000000000002
5630.0;14490.000000000002
5640.0;15300.000000000002
5650.0;14650.000000000002
5660.0;9124.0
5670.0;14660.000000000002
5680.0;9005.0
5690.0;14610.000000000002
5700.0;14460.000000000002
5710.0;14260.000000000002
5720.0;11030.0
5730.0;14640.000000000002
5740.0;9059.0
5750.0;14560.000000000002
5760.0;8956.0
5770.0;14210.000000000002
5780.0;14340.000000000002
5790.0;7524.0
5800.0;15720.000000000002
5810.0;14590.000000000002
5820.0;14280.000000000002
5830.0;14520.000000000002
5840.0;14600.000000000002
5850.0;6470.0
5860.0;14610.000000000002
5870.0;6170.0
5880.0;13900.000000000002
5890.0;6356.0
5900.0;11060.0
5910.0;6551.0
5920.0;14650.000000000002
5930.0;6261.0
5940.0;13110.000000000002
5950.0;6195.0
5960.0;7518.0
5970.0;7012.0
5980.0;14730.000000000002
5990.0;6873.0
6000.0;14380.000000000002
6010.0;6174.0
6020.0;14570.000000000002
6030.0;14270.000000000002
6040.0;14450.000000000002
6050.0;14660.000000000002
6060.0;7492.0
6070.0;14940.000000000002
6080.0;14820.000000000002
6090.0;14780.000000000002
6100.0;14810.000000000002
6110.0;6772.0
6120.0;14520.000000000002
6130.0;15000.000000000002
6140.0;14320.000000000002
6150.0;15220.000000000002
6160.0;6892.0
6170.0;7100.0
6180.0;14780.000000000002
6190.0;7019.0
6200.0;14840.000000000002
6210.0;9265.0
6220.0;15770.000000000002
6230.0;14990.000000000002
6240.0;9857.0
6250.0;14940.000000000002
6260.0;14900.000000000002
6270.0;16070.000000000002
6280.0;15060.000000000002
6290.0;14860.000000000002
6300.0;15360.000000000002
6310.0;14830.000000000002
6320.0;6776.0
6330.0;14780.000000000002
6340.0;15150.000000000002
6350.0;15090.000000000002
6360.0;9345.0
6370.0;14900.000000000002
6380.0;15000.000000000002
6390.0;14770.000000000002
6400.0;14950.000000000002
6410.0;15080.000000000002
6420.0;14770.000000000002
6430.0;14880.000000000002
6440.0;15100.000000000002
6450.0;14780.000000000002
6460.0;14850.000000000002
6470.0;15040.000000000002
6480.0;15130.000000000002
6490.0;15270.000000000002
6500.0;15270.000000000002
6510.0;14800.000000000002
6520.0;14860.000000000002
6530.0;14860.000000000002
6540.0;15220.000000000002
6550.0;15230.000000000002
6560.0;15140.000000000002
6570.0;15160.000000000002
6580.0;15030.000000000002
6590.0;15020.000000000002
6600.0;14940.000000000002
6610.0;14990.000000000002
6620.0;14960.000000000002
6630.0;15190.000000000002
6640.0;15180.000000000002
6650.0;15100.000000000002
6660.0;15040.000000000002
6670.0;14880.000000000002
6680.0;15000.000000000002
6690.0;15160.000000000002
6700.0;15190.000000000002
6710.0;15180.000000000002
6720.0;15160.000000000002
6730.0;15150.000000000002
6740.0;14920.000000000002
6750.0;14760.000000000002
6760.0;14830.000000000002
6770.0;14850.000000000002
6780.0;14900.000000000002
6790.0;14880.000000000002
6800.0;14890.000000000002
6810.0;15070.000000000002
6820.0;15040.000000000002
6830.0;14870.000000000002
6840.0;14790.000000000002
6850.0;14850.000000000002
6860.0;14840.000000000002
6870.0;14820.000000000002
6880.0;14820.000000000002
6890.0;15190.000000000002
6900.0;15260.000000000002
6910.0;14850.000000000002
6920.0;14870.000000000002
6930.0;14830.000000000002
6940.0;15180.000000000002
6950.0;14880.000000000002
6960.0;14750.000000000002
6970.0;14880.000000000002
6980.0;14910.000000000002
6990.0;14820.000000000002
7000.0;14940.000000000002
7010.0;15090.000000000002
7020.0;15180.000000000002
7030.0;15260.000000000002
7040.0;15110.000000000002
7050.0;15010.000000000002
7060.0;14930.000000000002
7070.0;14780.000000000002
7080.0;14830.000000000002
7090.0;15270.000000000002
7100.0;15170.000000000002
7110.0;15170.000000000002
7120.0;15250.000000000002
7130.0;15110.000000000002
7140.0;14770.000000000002
7150.0;14900.000000000002
7160.0;14910.000000000002
7170.0;14790.000000000002
7180.0;14900.000000000002
7190.0;15050.000000000002
7200.0;15090.000000000002
7210.0;14900.000000000002
7220.0;14870.000000000002
7230.0;14830.000000000002
7240.0;14890.000000000002
7250.0;15140.000000000002
7260.0;15950.000000000002
7270.0;7133.0
7280.0;14850.000000000002
7290.0;6912.0
7300.0;15220.000000000002
7310.0;7112.0
7320.0;6735.0
7330.0;15220.000000000002
7340.0;7063.0
7350.0;14780.000000000002
7360.0;6060.0
7370.0;6962.0
7380.0;14380.000000000002
7390.0;14270.000000000002
7400.0;14360.000000000002
7410.0;14320.000000000002
7420.0;6411.0
7430.0;6215.0
7440.0;14210.000000000002
7450.0;6516.0
7460.0;14420.000000000002
7470.0;8419.0
7480.0;6939.0
7490.0;14500.000000000002
7500.0;6799.0
7510.0;14620.000000000002
7520.0;6206.0
7530.0;15800.000000000002
7540.0;14660.000000000002
7550.0;14400.000000000002
7560.0;14610.000000000002
7570.0;14270.000000000002
7580.0;6196.0
7590.0;14680.000000000002
7600.0;9284.0
7610.0;14420.000000000002
7620.0;6752.0
7630.0;6468.0
7640.0;14250.000000000002
7650.0;14240.000000000002
7660.0;14600.000000000002
7670.0;14090.000000000002
7680.0;14250.000000000002
7690.0;14280.000000000002
7700.0;14330.000000000002
7710.0;14330.000000000002
7720.0;14500.000000000002
7730.0;14590.000000000002
7740.0;14280.000000000002
7750.0;14360.000000000002
7760.0;14390.000000000002
7770.0;14650.000000000002
7780.0;14530.000000000002
7790.0;14490.000000000002
7800.0;14400.000000000002
7810.0;14580.000000000002
7820.0;14360.000000000002
7830.0;14360.000000000002
7840.0;14290.000000000002
7850.0;14290.000000000002
7860.0;14380.000000000002
7870.0;14280.000000000002
7880.0;14560.000000000002
7890.0;14560.000000000002
7900.0;14310.000000000002
7910.0;14210.000000000002
7920.0;14520.000000000002
7930.0;14360.000000000002
7940.0;14710.000000000002
7950.0;14580.000000000002
7960.0;14940.000000000002
7970.0;14540.000000000002
7980.0;14260.000000000002
7990.0;14740.000000000002
8000.0;14560.000000000002
8010.0;11160.000000000002
8020.0;14250.000000000002
8030.0;10570.0
8040.0;14300.000000000002
8050.0;14290.000000000002
8060.0;14560.000000000002
8070.0;14660.000000000002
8080.0;14440.000000000002
8090.0;14290.000000000002
8100.0;14400.000000000002
8110.0;14260.000000000002
8120.0;14460.000000000002
8130.0;14450.000000000002
8140.0;14870.000000000002
8150.0;14680.000000000002
8160.0;14640.000000000002
8170.0;14260.000000000002
8180.0;14330.000000000002
8190.0;14360.000000000002
8200.0;14680.000000000002
8210.0;14610.000000000002
8220.0;14660.000000000002
8230.0;14360.000000000002
8240.0;14360.000000000002
8250.0;14360.000000000002
8260.0;14190.000000000002
8270.0;14250.000000000002
8280.0;14570.000000000002
8290.0;14570.000000000002
8300.0;14300.000000000002
8310.0;14260.000000000002
8320.0;14740.000000000002
8330.0;14360.000000000002
8340.0;16450.0
8350.0;10010.0
8360.0;14630.000000000002
8370.0;14620.000000000002
8380.0;14400.000000000002
8390.0;14440.000000000002
8400.0;16550.0
8410.0;9192.0
8420.0;14340.000000000002
8430.0;14340.000000000002
8440.0;14630.000000000002
8450.0;14670.000000000002
8460.0;14290.000000000002
8470.0;14340.000000000002
8480.0;14290.000000000002
8490.0;14290.000000000002
8500.0;14390.000000000002
8510.0;14530.000000000002
8520.0;14680.000000000002
8530.0;14750.000000000002
8540.0;14440.000000000002
8550.0;14290.000000000002
8560.0;8420.0
8570.0;15790.000000000002
8580.0;14270.000000000002
8590.0;14640.000000000002
8600.0;14610.000000000002
8610.0;14620.000000000002
8620.0;6168.0
8630.0;14650.000000000002
8640.0;14620.000000000002
8650.0;14640.000000000002
8660.0;15180.000000000002
8670.0;7110.0
8680.0;10190.0
8690.0;15170.000000000002
8700.0;6784.0
8710.0;15160.000000000002
8720.0;9602.0
8730.0;10360.0
8740.0;15310.000000000002
8750.0;14880.000000000002
8760.0;15120.000000000002
8770.0;9619.0
8780.0;10380.0
8790.0;14860.000000000002
8800.0;15100.000000000002
8810.0;14840.000000000002
8820.0;15110.000000000002
8830.0;6739.0
8840.0;6835.0
8850.0;15130.000000000002
8860.0;6728.0
8870.0;15150.000000000002
8880.0;7123.0
8890.0;7601.0
8900.0;14840.000000000002
8910.0;14910.000000000002
8920.0;14800.000000000002
8930.0;15170.000000000002
8940.0;6885.0
8950.0;14770.000000000002
8960.0;14890.000000000002
8970.0;15060.000000000002
8980.0;15170.000000000002
8990.0;15230.000000000002
9000.0;15010.000000000002
9010.0;14830.000000000002
9020.0;14830.000000000002
9030.0;15000.000000000002
9040.0;15170.000000000002
9050.0;15140.000000000002
9060.0;14920.000000000002
9070.0;14900.000000000002
9080.0;14780.000000000002
9090.0;15060.000000000002
9100.0;15140.000000000002
9110.0;15210.000000000002
9120.0;14940.000000000002
9130.0;14780.000000000002
9140.0;15190.000000000002
9150.0;15130.000000000002
9160.0;15150.000000000002
9170.0;14860.000000000002
9180.0;17170.0
9190.0;15130.000000000002
9200.0;15170.000000000002
9210.0;15200.000000000002
9220.0;15060.000000000002
9230.0;14900.000000000002
9240.0;14740.000000000002
9250.0;14750.000000000002
9260.0;14860.000000000002
9270.0;15090.000000000002
9280.0;15160.000000000002
9290.0;14910.000000000002
9300.0;14980.000000000002
9310.0;14760.000000000002
9320.0;14900.000000000002
9330.0;15070.000000000002
9340.0;15100.000000000002
9350.0;17230.0
9360.0;14920.000000000002
9370.0;14880.000000000002
9380.0;14880.000000000002
9390.0;15080.000000000002
9400.0;15200.000000000002
9410.0;15190.000000000002
9420.0;15050.000000000002
9430.0;15080.000000000002
9440.0;14920.000000000002
9450.0;15090.000000000002
9460.0;15160.000000000002
9470.0;14870.000000000002
9480.0;14990.000000000002
9490.0;15170.000000000002
9500.0;15250.000000000002
9510.0;15210.000000000002
9520.0;15070.000000000002
9530.0;14880.000000000002
9540.0;14790.000000000002
9550.0;14900.000000000002
9560.0;15070.000000000002
9570.0;15090.000000000002
9580.0;14900.000000000002
9590.0;14790.000000000002
9600.0;14890.000000000002
9610.0;14940.000000000002
9620.0;14870.000000000002
9630.0;14860.000000000002
9640.0;15150.000000000002
9650.0;15260.000000000002
9660.0;14840.000000000002
9670.0;14770.000000000002
9680.0;14880.000000000002
9690.0;17290.0
9700.0;14810.000000000002
9710.0;14810.000000000002
9720.0;15250.000000000002
9730.0;15080.000000000002
9740.0;14980.000000000002
9750.0;14770.000000000002
9760.0;14820.000000000002
9770.0;14930.000000000002
9780.0;14920.000000000002
9790.0;14880.000000000002
9800.0;16080.000000000002
9810.0;16420.0
9820.0;9496.0
9830.0;14890.000000000002
9840.0;14860.000000000002
9850.0;15040.000000000002
9860.0;7313.0
9870.0;15140.000000000002
9880.0;14840.000000000002
9890.0;15190.000000000002
9900.0;15030.000000000002
9910.0;7101.0
9920.0;7096.0
9930.0;15150.000000000002
9940.0;6802.0
9950.0;15180.000000000002
9960.0;6873.0
9970.0;14620.000000000002
9980.0;14330.000000000002
9990.0;14410.000000000002
10000.0;14430.000000000002
10010.0;6179.0
10020.0;14620.000000000002
10030.0;14240.000000000002
10040.0;14640.000000000002
10050.0;14250.000000000002
10060.0;15230.000000000002
10070.0;14230.000000000002
10080.0;14680.000000000002
10090.0;14390.000000000002
10100.0;14660.000000000002
10110.0;6483.0
10120.0;14260.000000000002
10130.0;14460.000000000002
10140.0;14300.000000000002
10150.0;14180.000000000002
10160.0;15850.000000000002
10170.0;14250.000000000002
10180.0;14300.000000000002
10190.0;14630.000000000002
10200.0;14300.000000000002
10210.0;16070.000000000002
10220.0;14550.000000000002
10230.0;14320.000000000002
10240.0;14430.000000000002
10250.0;14220.000000000002
10260.0;14530.000000000002
10270.0;14690.000000000002
10280.0;14490.000000000002
10290.0;14330.000000000002
10300.0;14220.000000000002
10310.0;14300.000000000002
10320.0;14390.000000000002
10330.0;14480.000000000002
10340.0;14240.000000000002
10350.0;14420.000000000002
10360.0;14620.000000000002
10370.0;14690.000000000002
10380.0;14690.000000000002
10390.0;14580.000000000002
10400.0;14250.000000000002
10410.0;14290.000000000002
10420.0;14380.000000000002
10430.0;14390.000000000002
10440.0;14330.000000000002
10450.0;14340.000000000002
10460.0;14640.000000000002
10470.0;14300.000000000002
10480.0;14370.000000000002
10490.0;14340.000000000002
10500.0;14510.000000000002
10510.0;8918.0
10520.0;14650.000000000002
10530.0;14660.000000000002
10540.0;9072.0
10550.0;14330.000000000002
10560.0;14370.000000000002
10570.0;14330.000000000002
10580.0;14620.000000000002
10590.0;12030.000000000002
10600.0;9042.0
10610.0;14510.000000000002
10620.0;16320.000000000002
10630.0;10530.0
10640.0;6971.0
10650.0;14650.000000000002
10660.0;14720.000000000002
10670.0;14680.000000000002
10680.0;14700.000000000002
10690.0;14660.000000000002
10700.0;14530.000000000002
10710.0;14290.000000000002
10720.0;14500.000000000002
10730.0;14400.000000000002
10740.0;6298.0
10750.0;10080.0
10760.0;14670.000000000002
10770.0;8083.0
10780.0;14450.000000000002
10790.0;14730.000000000002
10800.0;8496.0
10810.0;14350.000000000002
10820.0;14380.000000000002
10830.0;14360.000000000002
10840.0;14300.000000000002
10850.0;16500.0
10860.0;14680.000000000002
10870.0;14370.000000000002
10880.0;6197.0
10890.0;14280.000000000002
10900.0;8920.0
10910.0;14560.000000000002
10920.0;6522.0
10930.0;14430.000000000002
10940.0;14290.000000000002
10950.0;14330.000000000002
10960.0;6220.0
10970.0;14350.000000000002
10980.0;6212.0
10990.0;14350.000000000002
11000.0;14240.000000000002
11010.0;14380.000000000002
11020.0;6214.0
11030.0;14670.000000000002
11040.0;8488.0
11050.0;14580.000000000002
11060.0;6305.0
11070.0;14460.000000000002
11080.0;6779.0
11090.0;14330.000000000002
11100.0;14690.000000000002
11110.0;14590.000000000002
11120.0;6309.0
11130.0;14410.000000000002
11140.0;14300.000000000002
11150.0;14480.000000000002
11160.0;6152.0
11170.0;14640.000000000002
11180.0;14320.000000000002
11190.0;14580.000000000002
11200.0;14670.000000000002
11210.0;6553.0
11220.0;11360.000000000002
11230.0;14680.000000000002
11240.0;14430.000000000002
11250.0;14350.000000000002
11260.0;10060.0
11270.0;15140.000000000002
11280.0;15050.000000000002
11290.0;14860.000000000002
11300.0;14780.000000000002
11310.0;12580.000000000002
11320.0;14830.000000000002
11330.0;15160.000000000002
11340.0;14850.000000000002
11350.0;15010.000000000002
11360.0;6708.0
11370.0;15090.000000000002
11380.0;14960.000000000002
11390.0;15170.000000000002
11400.0;14780.000000000002
11410.0;6773.0
11420.0;14930.000000000002
11430.0;15110.000000000002
11440.0;14860.000000000002
11450.0;15160.000000000002
11460.0;9900.0
11470.0;15000.000000000002
11480.0;14790.000000000002
